ISO,Country,continent,year,BCA,BCA_NGDPD,GGR,GGR_NGDP,GGSB,GGSB_NPGDP,GGX,GGXCNL,GGXCNL_NGDP,GGXONLB,GGXONLB_NGDP,GGXWDG,GGXWDG_NGDP,GGXWDN,GGXWDN_NGDP,GGX_NGDP,LE,LP,LUR,NGAP_NPGDP,NGDP,NGDPD,NGDPDPC,NGDPPC,NGDPRPC,NGDPRPPPPC,NGDP_D,NGDP_FY,NGDP_R,NGDP_RPCH,NGSD_NGDP,NID_NGDP,PCPI,PCPIE,PCPIEPCH,PCPIPCH,PPPEX,PPPGDP,PPPPC,PPPSH,TMG_RPCH,TM_RPCH,TXG_RPCH,TX_RPCH
ABW,Aruba,Americas,2022,0.213,5.995,1.346,21.214,,,1.376,-0.03,-0.465,0.216,3.401,5.716,90.079,,,21.679,,0.107,6.6,,6.345,3.545,,,,,113.825,6.345,5.574,10.458,26.342,,103.848,106.37,5.736,5.522,1.317,4.819,,0.003,,,,
ABW,Aruba,Americas,2023,0.191,4.841,1.714,24.277,,,1.532,0.182,2.58,0.446,6.319,5.556,78.681,,,21.697,,0.107,4.0,,7.061,3.945,,,,,120.295,7.061,5.87,5.3,26.664,,107.34,108.79,2.275,3.363,1.343,5.257,,0.003,,,,
ABW,Aruba,Americas,2024,0.265,6.223,1.799,23.598,,,1.619,0.179,2.35,0.485,6.369,5.403,70.888,,,21.248,,0.107,3.884,,7.622,4.258,,,,,123.074,7.622,6.193,5.5,26.67,,109.819,111.727,2.7,2.31,1.342,5.679,,0.003,,,,
AFG,Afghanistan,Asia,2022,,,194.034,15.118,,,206.834,-12.8,-0.997,-12.692,-0.989,,,,,16.116,,41.142,,,,14.501,352.456,,,,124.279,,,-6.24,-12.05,7.947,143.822,143.56,1.936,10.6,14.898,86.149,,0.05,,,,
AFG,Afghanistan,Asia,2023,,,210.773,15.529,,,229.209,-18.436,-1.358,-16.132,-1.189,,,,,16.887,,42.171,,,,17.329,410.933,,,,127.959,,,2.711,-14.529,9.686,132.728,130.603,-9.025,-7.714,14.806,91.668,,0.05,,,,
AGO,Angola,Africa,2022,11.763,8.287,,20.095,111.327,0.165,,383.403,0.584,,4.055,,56.108,,,19.51,,35.711,,,,141.941,,,,,417.351,,,4.22,41.893,33.606,658.179,689.949,13.848,21.36,191.999,341.69,,0.198,37.455,42.314,3.388,3.271
AGO,Angola,Africa,2023,4.185,3.816,,17.367,,-1.5,,,-1.876,,3.551,,73.682,,,19.242,,36.961,,,,109.678,,,,,473.364,,,1.01,37.843,34.028,747.946,827.919,19.997,13.639,210.203,357.562,,0.194,-9.38,-13.978,-5.015,-4.976
AGO,Angola,Africa,2024,3.792,3.347,,18.014,824.598,0.817,,,1.573,,6.168,,59.283,,,16.441,,38.255,,,,113.286,,,,,611.464,,,2.413,36.032,32.684,960.258,,28.011,28.386,265.193,374.937,,0.193,3.415,3.415,0.468,0.448
ALB,Albania,Europe,2022,-1.121,-5.874,572.79,26.787,,,651.015,-78.226,-3.658,-38.602,-1.805,,65.546,,59.12,30.445,,2.778,10.9,,,19.083,,,,,231.137,,925.139,4.856,17.989,24.874,118.286,120.563,7.425,6.726,41.631,51.364,,0.03,4.052,11.68,20.158,28.29
ALB,Albania,Europe,2023,-0.285,-1.247,643.406,27.822,,,674.677,-31.271,-1.352,16.32,0.706,,59.811,,52.266,29.174,,2.75,10.7,,,22.822,,,,,241.633,,957.066,3.451,23.132,19.444,123.927,125.325,3.95,4.769,42.01,55.049,,0.03,2.486,10.617,2.821,23.775
